date,region,category,units,unit_price,revenue,marketing_spend,satisfaction
2022-01-25,East,Office Supplies,11,56.81,718.65,172.54,3.8
2022-01-25,South,Office Supplies,9,51.13,391.14,120.27,4.3
2022-01-25,East,Technology,7,586.73,4723.18,448.65,2.9
2022-01-25,West,Appliances,8,244.31,2443.1,203.23,4.2
2022-01-26,North,Technology,6,588.38,3530.28,282.42,3.3
2022-01-26,East,Furniture,5,417.36,2399.82,200.0,3.3
2022-01-26,West,Appliances,3,319.95,1199.81,160.31,3.5
2022-01-27,North,Appliances,4,285.58,1142.32,118.57,3.5
2022-01-28,North,Furniture,4,306.62,1226.48,185.21,3.1
2022-01-28,South,Furniture,11,364.04,3403.77,362.5,2.5
2022-01-28,North,Furniture,7,369.02,2583.14,246.83,3.5
2022-01-29,East,Office Supplies,4,51.73,237.96,130.39,3.6
2022-01-29,East,Furniture,10,349.76,4022.24,330.56,2.9
2022-01-29,East,Furniture,2,350.02,805.05,178.71,3.3
2022-01-29,West,Appliances,7,364.28,3187.45,267.11,3.8
2022-01-31,North,Furniture,10,314.86,3148.6,289.79,3.2
2022-01-31,West,Office Supplies,6,57.82,433.65,84.19,3.7
2022-01-31,East,Office Supplies,7,48.35,389.22,46.33,4.1
2022-02-01,East,Appliances,1,311.51,358.24,156.59,3.9
2022-02-01,West,Appliances,4,301.97,1509.85,200.24,4.6
2022-02-01,North,Office Supplies,5,42.57,212.85,59.98,5.0
2022-02-02,West,Office Supplies,10,55.04,688.0,125.2,4.1
2022-02-02,West,Appliances,6,329.83,2473.72,253.34,4.3
2022-02-02,East,Office Supplies,10,56.9,654.35,119.24,4.4
2022-02-02,East,Office Supplies,2,30.45,70.04,39.61,4.2
2022-02-02,South,Office Supplies,1,45.4,38.59,28.79,4.7
2022-02-02,West,Office Supplies,5,35.23,220.19,48.52,4.6
2022-02-03,West,Appliances,5,230.37,1439.81,166.57,4.5
2022-02-03,North,Technology,8,525.86,4206.88,468.54,3.8
2022-02-04,East,Office Supplies,2,48.15,110.74,114.55,4.0
2022-02-06,North,Technology,1,402.88,402.88,128.75,3.9
2022-02-06,East,Technology,6,516.15,3561.43,359.07,3.7
2022-02-06,West,Office Supplies,7,57.71,504.96,116.21,3.0
2022-02-06,East,Appliances,11,172.61,2183.52,205.27,3.7
2022-02-07,East,Office Supplies,4,38.3,176.18,16.21,5.0
2022-02-10,South,Furniture,1,298.47,253.7,105.33,3.0
2022-02-10,West,Office Supplies,1,47.88,59.85,41.84,5.0
2022-02-10,West,Furniture,3,448.77,1682.89,186.54,2.9
2022-02-11,West,Furniture,5,459.17,2869.81,417.48,2.3
2022-02-12,West,Furniture,10,318.98,3987.25,331.91,3.1
2022-02-13,West,Office Supplies,7,46.69,408.54,106.47,3.9
2022-02-13,West,Office Supplies,2,43.32,108.3,28.31,3.4
2022-02-13,South,Appliances,9,302.19,2311.75,226.43,3.3
2022-02-13,South,Office Supplies,2,35.79,60.84,115.1,4.4
2022-02-14,West,Office Supplies,7,43.98,384.82,154.32,5.0
2022-02-14,West,Office Supplies,4,45.57,227.85,61.91,4.3
2022-02-14,East,Office Supplies,10,29.45,338.67,27.09,4.4
2022-02-14,South,Office Supplies,11,35.38,330.8,167.75,5.0
2022-02-14,East,Furniture,4,312.32,1436.67,205.7,2.8
2022-02-14,East,Appliances,10,197.73,2273.9,239.06,4.2
2022-02-15,East,Office Supplies,9,40.15,415.55,173.08,4.5
2022-02-19,South,Appliances,9,269.0,2057.85,245.46,3.7
2022-02-19,East,Office Supplies,4,49.72,228.71,75.28,4.4
2022-02-20,North,Technology,5,565.96,2829.8,317.7,4.1
2022-02-20,West,Furniture,11,373.0,5128.75,449.51,3.5
2022-02-20,North,Appliances,7,270.7,1894.9,208.52,4.0
2022-02-21,North,Technology,4,547.75,2191.0,280.15,4.3
2022-02-21,West,Office Supplies,3,35.03,131.36,82.8,4.1
2022-02-21,East,Furniture,5,416.89,2397.12,264.28,3.8
2022-02-22,West,Office Supplies,5,44.45,277.81,105.62,4.4
2022-02-22,East,Furniture,4,305.09,1403.41,114.95,3.5
2022-02-22,East,Appliances,9,302.8,3133.98,368.63,3.4
2022-02-22,South,Office Supplies,4,42.95,146.03,79.03,4.4
2022-02-23,North,Office Supplies,10,47.86,478.6,140.17,3.4
2022-02-24,South,Office Supplies,6,30.84,157.28,105.82,5.0
2022-02-24,South,Appliances,9,344.09,2632.29,221.78,3.6
2022-02-25,East,Office Supplies,9,50.54,523.09,127.57,4.9
2022-02-26,West,Appliances,2,250.55,626.38,130.85,3.4
2022-02-27,North,Office Supplies,4,43.29,173.16,109.55,4.3
2022-02-27,West,Office Supplies,11,47.87,658.21,128.96,4.1
2022-03-01,West,Technology,4,575.67,2878.35,283.0,3.8
2022-03-01,South,Office Supplies,9,48.74,372.86,98.44,4.3
2022-03-01,North,Furniture,8,394.23,3153.84,252.31,3.1
2022-03-03,South,Office Supplies,7,45.94,273.34,21.87,4.4
2022-03-04,South,Office Supplies,8,30.11,204.75,96.53,3.6
2022-03-04,West,Technology,1,479.81,599.76,178.49,4.8
2022-03-04,West,Furniture,10,478.04,5975.5,515.97,3.9
2022-03-04,East,Office Supplies,5,39.5,227.12,43.72,4.5
2022-03-04,West,Office Supplies,11,53.61,737.14,70.74,3.3
2022-03-05,North,Technology,9,586.69,5280.21,454.45,3.3
2022-03-05,South,Office Supplies,3,27.85,71.02,80.18,4.0
2022-03-06,South,Technology,6,507.25,2586.98,206.96,3.9
2022-03-06,West,Furniture,2,260.9,652.25,97.42,2.9
2022-03-06,South,Appliances,1,177.13,150.56,82.65,5.0
2022-03-06,North,Office Supplies,11,56.67,623.37,134.66,4.8
2022-03-07,West,Furniture,8,310.42,3104.2,368.79,2.9
2022-03-08,East,Technology,1,694.03,798.13,77.73,3.7
2022-03-08,North,Furniture,4,439.24,1756.96,155.2,3.8
2022-03-09,North,Furniture,8,321.72,2573.76,281.19,4.0
2022-03-09,East,Office Supplies,8,35.36,325.31,86.06,4.6
2022-03-10,North,Technology,11,723.95,7963.45,720.39,4.7
2022-03-12,North,Furniture,5,414.77,2073.85,283.76,4.2
2022-03-13,North,Furniture,11,425.09,4675.99,464.02,4.3
2022-03-14,West,Office Supplies,5,32.73,204.56,120.57,3.9
2022-03-15,East,Technology,7,581.21,4678.74,460.02,3.6
2022-03-16,East,Office Supplies,2,42.7,98.21,8.67,4.5
2022-03-16,South,Office Supplies,2,37.91,64.45,138.62,4.5
2022-03-16,West,Office Supplies,9,41.01,461.36,97.99,4.8
2022-03-16,West,Office Supplies,5,29.43,183.94,87.14,4.8
2022-03-18,North,Appliances,9,190.34,1713.06,137.04,5.0
2022-03-18,South,Office Supplies,10,45.53,387.0,108.64,4.2
2022-03-19,North,Technology,1,676.57,676.57,122.18,3.8
2022-03-19,South,Office Supplies,11,30.15,281.9,107.54,4.8
2022-03-19,North,Technology,6,709.27,4255.62,382.08,3.9
2022-03-21,East,Appliances,2,232.15,533.94,155.97,4.2
2022-03-24,West,Furniture,1,340.35,425.44,34.04,3.7
2022-03-24,South,Office Supplies,7,34.7,206.47,19.69,4.0
2022-03-25,East,Furniture,2,303.29,697.57,109.35,5.0
2022-03-25,North,Office Supplies,10,44.29,442.9,114.58,4.5
2022-03-26,East,Furniture,1,290.76,334.37,38.14,4.5
2022-03-27,South,Technology,4,572.78,1947.45,185.41,3.8
2022-03-27,North,Appliances,4,356.83,1427.32,114.19,3.2
2022-03-28,East,Office Supplies,9,32.03,331.51,60.9,4.3
2022-03-28,East,Furniture,1,416.35,478.8,85.56,4.1
2022-03-28,East,Office Supplies,2,37.95,87.28,90.77,4.2
2022-03-29,South,Technology,7,601.19,3577.08,358.29,3.1
2022-03-29,West,Furniture,1,395.73,494.66,120.05,3.6
2022-03-30,East,Technology,6,442.38,3052.42,328.16,3.5
2022-03-30,North,Office Supplies,11,45.51,500.61,136.46,4.7
2022-03-30,South,Technology,5,423.48,1799.79,194.65,4.2
2022-03-31,North,Office Supplies,8,49.23,393.84,99.75,4.5
2022-04-01,East,Office Supplies,4,49.68,228.53,80.83,3.7
2022-04-01,West,Office Supplies,10,42.11,526.38,98.68,3.4
2022-04-02,West,Technology,11,768.93,10572.79,924.97,3.8
2022-04-03,West,Appliances,8,277.04,2770.4,299.46,4.1
2022-04-03,West,Office Supplies,11,51.71,711.01,72.2,4.6
2022-04-04,South,Furniture,4,434.16,1476.14,211.39,3.8
2022-04-04,North,Office Supplies,6,45.84,275.04,50.63,3.8
2022-04-04,South,Furniture,9,210.75,1612.24,245.56,4.0
2022-04-05,South,Office Supplies,4,58.39,198.53,15.88,5.0
2022-04-05,North,Office Supplies,7,43.59,305.13,59.09,3.1
2022-04-05,West,Technology,6,601.92,4514.4,398.93,3.8
2022-04-06,North,Technology,5,622.66,3113.3,382.18,4.3
2022-04-07,East,Furniture,3,383.55,1323.25,106.41,5.0
2022-04-07,South,Appliances,11,309.6,2894.76,327.37,3.8
2022-04-07,North,Office Supplies,9,50.34,453.06,124.18,4.2
2022-04-07,South,Appliances,4,252.66,859.04,142.1,4.9
2022-04-09,North,Office Supplies,2,45.66,91.32,65.89,4.5
2022-04-10,North,Office Supplies,7,38.84,271.88,120.34,4.7
2022-04-11,North,Office Supplies,9,48.14,433.26,46.97,4.4
2022-04-12,North,Office Supplies,3,42.43,127.29,62.43,4.0
2022-04-12,West,Office Supplies,10,36.96,462.0,56.64,3.7
2022-04-12,South,Appliances,7,328.07,1952.02,225.85,3.2
2022-04-13,West,Office Supplies,1,46.39,57.99,34.29,4.1
2022-04-14,West,Office Supplies,9,45.09,507.26,82.54,5.0
2022-04-14,North,Technology,2,474.66,949.32,167.71,3.5
2022-04-14,East,Appliances,4,263.68,1212.93,183.76,3.9
2022-04-14,East,Appliances,2,269.4,619.62,108.9,4.4
2022-04-16,South,Technology,5,632.81,2689.44,215.16,4.8
2022-04-16,North,Office Supplies,5,48.18,240.9,19.27,4.0
2022-04-16,East,Office Supplies,8,38.53,354.48,68.33,4.1
2022-04-17,North,Appliances,5,226.0,1130.0,142.72,2.7
2022-04-18,South,Office Supplies,4,48.26,164.08,65.8,4.4
2022-04-19,North,Office Supplies,1,47.57,47.57,66.69,4.3
2022-04-19,South,Office Supplies,4,51.41,174.79,94.34,4.3
2022-04-19,South,Furniture,11,389.48,3641.64,304.67,2.8
2022-04-20,East,Furniture,10,323.39,3718.98,356.21,2.3
2022-04-22,West,Appliances,4,312.82,1564.1,125.13,4.5
2022-04-22,West,Office Supplies,3,34.95,131.06,50.88,3.6
2022-04-24,North,Furniture,3,374.11,1122.33,110.93,4.0
2022-04-24,North,Office Supplies,1,52.18,52.18,108.42,4.1
2022-04-24,West,Technology,2,648.54,1621.35,133.95,3.6
2022-04-25,North,Technology,5,670.4,3352.0,319.61,4.1
2022-04-25,North,Office Supplies,2,24.98,49.96,83.22,5.0
2022-04-25,West,Office Supplies,5,40.1,250.62,42.51,3.4
2022-04-26,East,Office Supplies,5,44.15,253.86,79.59,4.1
2022-04-26,North,Office Supplies,1,48.27,48.27,6.26,4.1
2022-04-27,North,Office Supplies,4,42.43,169.72,13.58,5.0
2022-04-27,West,Furniture,2,317.69,794.22,174.18,3.3
2022-04-27,South,Furniture,3,319.03,813.53,106.27,3.6
2022-04-27,South,Appliances,2,315.63,536.57,129.62,3.0
2022-04-27,North,Office Supplies,8,35.52,284.16,180.51,4.5
2022-04-28,North,Office Supplies,5,42.62,213.1,49.9,4.4
2022-04-28,North,Technology,7,638.7,4470.9,418.83,4.3
2022-04-30,South,Furniture,6,374.71,1911.02,218.31,3.8
2022-04-30,South,Technology,6,658.04,3356.0,382.19,3.8
2022-04-30,East,Furniture,10,348.72,4010.28,379.31,4.3
2022-04-30,South,Furniture,4,328.19,1115.85,171.21,2.7
2022-05-01,South,Office Supplies,7,52.83,314.34,87.91,3.9
2022-05-01,North,Furniture,10,396.68,3966.8,329.57,3.9
2022-05-03,East,Appliances,1,383.72,441.28,35.3,4.5
2022-05-04,West,Furniture,7,353.8,3095.75,280.73,4.2
2022-05-05,South,Technology,4,465.87,1583.96,251.94,3.5
2022-05-05,North,Office Supplies,1,44.62,44.62,41.14,4.1
2022-05-06,South,Technology,3,664.35,1694.09,222.58,3.7
2022-05-06,East,Furniture,1,314.59,361.78,137.6,4.6
2022-05-06,West,Office Supplies,6,42.07,315.53,120.42,4.0
2022-05-07,East,Office Supplies,8,46.63,429.0,120.05,3.8
2022-05-07,North,Appliances,10,309.31,3093.1,282.64,4.1
2022-05-07,North,Technology,11,703.91,7743.01,685.87,4.5
2022-05-08,South,Appliances,7,327.63,1949.4,226.4,4.5
2022-05-08,South,Technology,7,584.96,3480.51,353.49,3.7
2022-05-08,South,Technology,11,558.94,5226.09,537.81,3.5
2022-05-10,North,Furniture,11,465.75,5123.25,473.97,4.0
2022-05-11,East,Office Supplies,5,44.51,255.93,52.79,3.8
2022-05-12,West,Furniture,1,223.39,279.24,85.92,2.5
2022-05-12,North,Furniture,9,241.26,2171.34,173.71,3.7
2022-05-12,North,Furniture,11,378.64,4165.04,385.42,2.7
2022-05-13,South,Furniture,6,324.02,1652.5,174.82,3.4
2022-05-13,South,Technology,6,550.34,2806.73,267.02,4.3
2022-05-15,North,Furniture,8,388.35,3106.8,283.07,3.5
2022-05-15,East,Technology,4,384.94,1770.72,187.44,3.1
2022-05-16,North,Office Supplies,1,47.91,47.91,73.35,3.7
2022-05-17,West,Office Supplies,10,45.88,573.5,74.95,4.0
2022-05-19,North,Appliances,6,224.67,1348.02,174.12,4.7
2022-05-20,West,Office Supplies,11,43.7,600.88,129.07,4.1
2022-05-20,East,Furniture,3,399.28,1377.52,126.48,3.3
2022-05-21,North,Appliances,2,272.95,545.9,83.33,3.9
2022-05-22,West,Office Supplies,7,51.21,448.09,137.84,4.9
2022-05-23,South,Appliances,1,313.53,266.5,61.5,3.8
2022-05-24,North,Office Supplies,8,39.14,313.12,32.55,3.5
2022-05-25,North,Furniture,5,278.16,1390.8,117.64,2.7
2022-05-25,South,Office Supplies,4,57.9,196.86,97.95,4.3
2022-05-25,South,Office Supplies,2,51.37,87.33,44.12,4.9
2022-05-26,West,Furniture,3,228.4,856.5,167.67,4.2
2022-05-27,South,Appliances,2,268.02,455.63,144.81,3.9
2022-05-27,East,Furniture,1,337.33,387.93,140.02,3.7
2022-05-27,North,Furniture,1,361.7,361.7,69.94,3.2
2022-05-27,East,Technology,7,629.48,5067.31,499.28,3.6
2022-05-28,East,Office Supplies,1,51.02,58.67,77.65,4.7
2022-05-28,North,Appliances,11,315.6,3471.6,416.15,4.4
2022-05-28,East,Furniture,4,414.82,1908.17,161.0,3.6
2022-05-28,West,Office Supplies,2,40.84,102.1,123.23,3.8
2022-05-29,North,Furniture,1,234.7,234.7,43.91,3.7
2022-05-30,East,Technology,4,783.53,3604.24,363.69,3.4
2022-05-30,West,Furniture,5,362.39,2264.94,185.57,3.8
2022-05-30,West,Technology,9,403.15,4535.44,362.84,3.1
2022-05-30,East,Office Supplies,10,42.05,483.58,152.92,3.9
2022-05-31,North,Office Supplies,6,57.77,346.62,31.07,4.1
2022-06-01,South,Office Supplies,3,38.66,98.58,83.39,4.4
2022-06-01,East,Appliances,10,287.09,3301.53,287.91,4.9
2022-06-02,North,Furniture,3,428.52,1285.56,182.79,3.0
2022-06-03,East,Office Supplies,3,45.04,155.39,12.43,4.1
2022-06-04,West,Technology,8,544.37,5443.7,470.99,4.2
2022-06-05,East,Technology,7,593.64,4778.8,514.35,4.0
2022-06-06,East,Office Supplies,9,48.26,499.49,99.39,4.1
2022-06-07,North,Office Supplies,1,45.93,45.93,44.06,4.1
2022-06-07,South,Technology,2,678.68,1153.76,168.59,4.1
2022-06-08,South,Furniture,10,361.12,3069.52,349.76,3.4
2022-06-08,West,Appliances,8,233.64,2336.4,214.02,4.3
2022-06-09,South,Appliances,5,214.74,912.64,160.05,4.5
2022-06-09,West,Technology,9,512.11,5761.24,461.81,4.4
2022-06-09,North,Technology,4,583.4,2333.6,268.07,3.5
2022-06-09,West,Office Supplies,1,49.73,62.16,101.66,4.5
2022-06-11,West,Furniture,1,378.12,472.65,163.48,4.1
2022-06-11,South,Office Supplies,6,37.9,193.29,38.41,4.4
2022-06-11,East,Technology,8,713.21,6561.53,626.2,4.1
2022-06-12,North,Furniture,5,375.65,1878.25,153.91,4.3
2022-06-13,West,Furniture,3,345.44,1295.4,103.63,3.6
2022-06-13,East,Appliances,10,404.18,4648.07,464.27,4.6
2022-06-14,North,Office Supplies,8,40.71,325.68,81.98,3.9
2022-06-14,North,Furniture,1,336.17,336.17,122.04,2.9
2022-06-14,West,Furniture,11,377.53,5191.04,474.18,3.9
2022-06-15,South,Appliances,9,382.65,2927.27,250.99,4.5
2022-06-15,North,Technology,5,481.03,2405.15,276.74,4.0
2022-06-16,East,Office Supplies,3,51.93,179.16,111.87,3.8
2022-06-16,North,Office Supplies,7,59.21,414.47,147.19,3.6
2022-06-17,West,Appliances,9,371.56,4180.05,415.17,4.0
2022-06-17,South,Technology,2,585.17,994.79,135.54,3.8
2022-06-19,West,Office Supplies,10,47.38,592.25,119.19,4.1
2022-06-19,North,Furniture,5,310.4,1552.0,161.13,3.1
2022-06-19,West,Furniture,8,362.81,3628.1,361.27,3.7
2022-06-19,East,Technology,3,696.86,2404.17,241.88,3.8
2022-06-20,North,Office Supplies,4,45.12,180.48,85.1,4.4
2022-06-21,East,Technology,7,496.61,3997.71,427.89,4.4
2022-06-21,East,Office Supplies,7,31.93,257.04,171.36,4.3
2022-06-22,North,Office Supplies,2,35.32,70.64,62.55,4.2
2022-06-22,South,Furniture,3,444.05,1132.33,90.59,4.2
2022-06-22,South,Office Supplies,10,49.35,419.48,85.06,4.9
2022-06-22,North,Technology,6,754.39,4526.34,428.95,3.5
2022-06-23,West,Technology,4,606.39,3031.95,375.59,4.5
2022-06-23,West,Furniture,3,451.3,1692.38,226.03,2.8
2022-06-23,West,Technology,10,591.28,7391.0,632.85,4.4
2022-06-25,West,Furniture,5,446.76,2792.25,260.77,3.6
2022-06-26,East,Furniture,11,340.36,4305.55,506.21,4.3
2022-06-27,South,Appliances,4,320.85,1090.89,99.75,3.3
2022-06-28,West,Furniture,6,383.86,2878.95,278.21,2.4
2022-06-29,North,Appliances,10,326.68,3266.8,336.68,3.5
2022-06-29,North,Furniture,4,457.03,1828.12,222.53,3.8
2022-06-30,North,Furniture,9,411.3,3701.7,379.08,3.8
2022-06-30,West,Office Supplies,3,48.5,181.88,70.31,3.4
2022-07-01,West,Furniture,5,329.48,2059.25,282.69,4.1
2022-07-02,West,Technology,9,565.16,6358.05,607.94,3.8
2022-07-03,West,Office Supplies,8,42.17,421.7,110.25,4.4
2022-07-03,West,Furniture,2,427.97,1069.93,104.35,3.8
2022-07-03,East,Technology,4,446.85,2055.51,249.36,3.4
2022-07-03,West,Appliances,3,262.3,983.63,78.69,3.8
2022-07-03,East,Office Supplies,2,29.96,68.91,5.51,4.1
2022-07-04,East,Office Supplies,8,46.91,431.57,34.53,4.0
2022-07-05,East,Office Supplies,11,59.83,756.85,123.5,3.5
2022-07-05,East,Furniture,9,310.68,3215.54,257.24,3.3
2022-07-06,East,Furniture,9,390.13,4037.85,401.63,3.9
2022-07-06,West,Furniture,2,312.83,782.08,184.51,2.9
2022-07-06,North,Appliances,3,250.5,751.5,108.92,3.8
2022-07-07,North,Technology,3,734.06,2202.18,279.76,3.8
2022-07-07,North,Appliances,9,339.68,3057.12,297.41,4.0
2022-07-09,South,Office Supplies,6,40.35,205.79,168.87,4.4
2022-07-10,West,Technology,7,557.11,4874.71,458.81,4.2
2022-07-11,East,Office Supplies,11,51.09,646.29,96.5,4.1
2022-07-11,East,Technology,7,605.11,4871.14,437.12,4.4
2022-07-12,North,Appliances,2,254.85,509.7,130.15,3.8
2022-07-12,East,Furniture,6,363.75,2509.88,315.3,3.4
2022-07-12,West,Appliances,4,309.37,1546.85,198.11,4.1
2022-07-13,South,Office Supplies,7,44.98,267.63,117.29,3.8
2022-07-13,East,Office Supplies,11,55.06,696.51,190.1,3.6
2022-07-14,West,Appliances,5,218.68,1366.75,222.78,4.3
2022-07-15,West,Appliances,8,315.85,3158.5,333.71,3.5
2022-07-16,North,Furniture,2,498.04,996.08,131.91,2.9
2022-07-17,North,Furniture,11,250.1,2751.1,220.09,4.1
2022-07-18,South,Technology,10,463.92,3943.32,448.39,3.6
2022-07-19,East,Office Supplies,1,42.55,48.93,57.62,3.4
2022-07-19,South,Appliances,1,333.63,283.59,191.87,4.1
2022-07-20,West,Technology,8,619.46,6194.6,569.68,4.2
2022-07-20,South,Office Supplies,6,44.41,226.49,18.21,5.0
2022-07-20,North,Office Supplies,2,45.45,90.9,31.33,4.0
2022-07-20,West,Appliances,4,318.77,1593.85,158.7,3.6
2022-07-22,West,Office Supplies,8,34.51,345.1,82.13,5.0
2022-07-22,East,Office Supplies,9,46.8,484.38,81.46,4.3
2022-07-22,East,Office Supplies,10,56.48,649.52,89.16,3.3
2022-07-22,West,Furniture,7,329.14,2879.98,279.29,3.2
2022-07-26,East,Office Supplies,11,31.34,396.45,105.19,3.6
2022-07-27,South,Furniture,9,337.2,2579.58,224.39,3.7
2022-07-28,South,Furniture,11,328.12,3067.92,390.78,3.2
2022-07-28,West,Technology,7,536.68,4695.95,462.31,4.4
2022-07-28,North,Office Supplies,9,53.67,483.03,113.31,3.9
2022-07-29,West,Office Supplies,11,45.87,630.71,114.15,4.3
2022-07-29,East,Office Supplies,6,40.12,276.83,41.54,4.8
2022-07-30,East,Technology,1,691.81,795.58,98.75,3.9
2022-08-01,North,Office Supplies,9,42.14,379.26,85.98,4.7
2022-08-02,South,Office Supplies,6,35.77,182.43,41.4,3.5
2022-08-02,West,Appliances,1,265.4,331.75,67.96,4.7
2022-08-03,South,Appliances,6,284.32,1450.03,133.76,3.9
2022-08-04,North,Technology,10,648.07,6480.7,569.0,3.4
2022-08-04,East,Office Supplies,11,44.43,562.04,73.7,3.2
2022-08-04,South,Furniture,2,413.37,702.73,125.67,4.0
2022-08-04,East,Office Supplies,9,54.11,560.04,100.75,3.8
2022-08-05,West,Technology,7,641.72,5615.05,574.64,4.2
2022-08-05,East,Office Supplies,3,33.42,115.3,105.64,4.2
2022-08-06,South,Technology,6,660.34,3367.73,324.36,3.4
2022-08-06,East,Office Supplies,7,60.63,488.07,134.41,3.9
2022-08-06,South,Furniture,3,255.14,650.61,52.05,2.8
2022-08-06,North,Furniture,4,355.06,1420.24,188.23,3.0
2022-08-07,North,Furniture,11,337.3,3710.3,381.04,3.7
2022-08-07,West,Office Supplies,5,34.98,218.62,62.76,3.6
2022-08-07,South,Technology,6,557.17,2841.57,383.43,3.7
2022-08-08,North,Office Supplies,8,41.69,333.52,125.45,3.4
2022-08-08,East,Office Supplies,11,50.82,642.87,105.91,5.0
2022-08-08,West,Furniture,6,404.64,3034.8,293.11,4.4
2022-08-08,North,Furniture,2,335.71,671.42,91.84,3.7
2022-08-09,North,Office Supplies,2,36.66,73.32,59.32,2.8
2022-08-09,North,Office Supplies,2,46.04,92.08,127.6,3.2
2022-08-09,South,Office Supplies,1,49.95,42.46,67.84,4.8
2022-08-09,North,Technology,6,727.56,4365.36,421.15,4.2
2022-08-09,North,Office Supplies,4,30.41,121.64,9.73,4.8
2022-08-10,East,Technology,8,672.28,6184.98,594.28,4.4
2022-08-10,South,Office Supplies,11,44.31,414.3,98.46,4.8
2022-08-10,East,Office Supplies,4,45.21,207.97,82.02,4.5
2022-08-12,West,Furniture,11,386.63,5316.16,498.0,2.9
2022-08-15,West,Appliances,4,369.87,1849.35,259.06,4.1
2022-08-15,East,Furniture,4,356.91,1641.79,147.17,2.7
2022-08-15,West,Furniture,6,291.75,2188.12,193.9,3.4
2022-08-16,North,Technology,9,679.08,6111.72,504.41,3.7
2022-08-17,East,Furniture,11,403.79,5107.94,448.22,3.7
2022-08-17,West,Office Supplies,1,63.79,79.74,86.98,4.9
2022-08-17,East,Furniture,1,260.77,299.89,180.74,3.4
2022-08-18,West,Technology,11,550.45,7568.69,663.19,4.6
2022-08-19,East,Technology,9,529.99,5485.4,497.72,4.4
2022-08-20,South,Appliances,10,303.68,2581.28,263.67,3.7
2022-08-21,South,Furniture,10,311.82,2650.47,231.46,3.2
2022-08-21,West,Office Supplies,3,44.07,165.26,122.67,4.4
2022-08-22,East,Office Supplies,7,39.11,314.84,87.28,4.7
2022-08-22,West,Office Supplies,4,42.58,212.9,44.27,4.3
2022-08-22,West,Appliances,3,318.1,1192.88,133.33,4.0
2022-08-23,East,Office Supplies,4,38.68,177.93,90.77,3.8
2022-08-23,North,Office Supplies,8,51.51,412.08,109.23,4.4
2022-08-23,East,Technology,1,561.55,645.78,134.73,3.8
2022-08-24,North,Office Supplies,2,44.02,88.04,26.35,4.1
2022-08-24,North,Office Supplies,9,48.16,433.44,118.54,4.4
